Subject,Probe,Station,Url,Path,Pat_Path
NA06985,SRR709972,1,/vol1/ftp/phase3/data/NA06985/sequence_read/SRR709972_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06985/sequence_read/SRR709972_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06985
NA06985,SRR709972,1,/vol1/ftp/phase3/data/NA06985/sequence_read/SRR709972_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06985/sequence_read/SRR709972_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06985
NA06994,SRR070528,1,/vol1/ftp/phase3/data/NA06994/sequence_read/SRR070528_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994/sequence_read/SRR070528_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994
NA06994,SRR070528,1,/vol1/ftp/phase3/data/NA06994/sequence_read/SRR070528_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994/sequence_read/SRR070528_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994
NA06994,SRR070819,1,/vol1/ftp/phase3/data/NA06994/sequence_read/SRR070819_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994/sequence_read/SRR070819_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994
NA06994,SRR070819,1,/vol1/ftp/phase3/data/NA06994/sequence_read/SRR070819_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994/sequence_read/SRR070819_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA06994
NA07000,SRR766039,1,/vol1/ftp/phase3/data/NA07000/sequence_read/SRR766039_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07000/sequence_read/SRR766039_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07000
NA07000,SRR766039,1,/vol1/ftp/phase3/data/NA07000/sequence_read/SRR766039_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07000/sequence_read/SRR766039_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07000
NA07048,SRR099452,1,/vol1/ftp/phase3/data/NA07048/sequence_read/SRR099452_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07048/sequence_read/SRR099452_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07048
NA07048,SRR099452,1,/vol1/ftp/phase3/data/NA07048/sequence_read/SRR099452_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07048/sequence_read/SRR099452_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07048
NA07056,SRR764718,1,/vol1/ftp/phase3/data/NA07056/sequence_read/SRR764718_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07056/sequence_read/SRR764718_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07056
NA07056,SRR764718,1,/vol1/ftp/phase3/data/NA07056/sequence_read/SRR764718_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07056/sequence_read/SRR764718_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07056
NA07357,SRR764689,1,/vol1/ftp/phase3/data/NA07357/sequence_read/SRR764689_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357/sequence_read/SRR764689_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357
NA07357,SRR764689,1,/vol1/ftp/phase3/data/NA07357/sequence_read/SRR764689_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357/sequence_read/SRR764689_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357
NA07357,SRR764690,1,/vol1/ftp/phase3/data/NA07357/sequence_read/SRR764690_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357/sequence_read/SRR764690_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357
NA07357,SRR764690,1,/vol1/ftp/phase3/data/NA07357/sequence_read/SRR764690_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357/sequence_read/SRR764690_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA07357
NA10847,SRR070531,1,/vol1/ftp/phase3/data/NA10847/sequence_read/SRR070531_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA10847/sequence_read/SRR070531_1.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA10847
NA10847,SRR070531,1,/vol1/ftp/phase3/data/NA10847/sequence_read/SRR070531_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA10847/sequence_read/SRR070531_2.filt.fastq.gz,/mnt/vdb/showcases/nf-core/data_preperation/data/station_1/NA10847
