Subject, Probe
NA06985,SRR709972
NA06994,SRR070528
NA06994,SRR070819
NA07000,SRR766039
NA07048,SRR099452
NA07056,SRR764718
NA07357,SRR764689
NA07357,SRR764690
NA10847,SRR070531
NA10847,SRR070823
NA10851,SRR766044
NA11829,SRR710128
NA11831,SRR709975
NA11832,SRR766003
NA11840,SRR070532
NA11840,SRR070809
NA11881,SRR766021
NA11992,SRR701474
NA11994,SRR701475
NA11995,SRR766010
NA12003,SRR766061
NA12004,SRR766059
NA12005,SRR718067
NA12006,SRR716422
NA12043,SRR716423
NA12043,SRR716424
NA12044,SRR766060
NA12144,SRR766058
NA12154,SRR702067
NA12155,SRR702068
NA12156,SRR764691
NA12234,SRR716435
NA12249,SRR070798
NA12716,SRR081269
NA12717,SRR071172
NA12750,SRR081238
NA12750,SRR794547
NA12750,SRR794550
NA12751,SRR071136
NA12751,SRR071139
NA12760,SRR081223
NA12760,SRR081251
NA12761,SRR077753
NA12761,SRR081267
NA12762,SRR718076
NA12763,SRR077752
NA12763,SRR081230
NA12812,SRR715913
NA12813,SRR718077
NA12813,SRR718078
NA12814,SRR715914
NA12872,SRR716647
NA12874,SRR764692
NA12878,SRR098401
NA12891,SRR098359
NA12892,ERR034529
NA18501,SRR100022
NA18502,SRR764722
NA18502,SRR764723
NA18504,SRR100028
NA18505,SRR716648
NA18505,SRR716649
NA18507,SRR764745
NA18507,SRR764746
NA18508,SRR716637
NA18508,SRR716638
NA18516,SRR100026
NA18517,ERR034551
NA18522,SRR107025
NA18523,ERR034552
NA18526,ERR031854
NA18532,ERR031956
NA18537,ERR032033
NA18537,ERR032034
NA18542,ERR031855
NA18545,ERR031856
NA18547,ERR031957
NA18550,ERR031958
NA18552,ERR031959
NA18558,ERR031960
NA18561,ERR031858
NA18562,ERR031859
NA18563,ERR031860
NA18566,ERR031862
NA18571,ERR031868
NA18572,ERR031869
NA18573,ERR031870
NA18576,ERR031871
NA18577,ERR032035
NA18577,ERR032036
NA18579,ERR032037
NA18579,ERR032038
NA18582,ERR031961
NA18592,ERR031962
NA18593,ERR034531
NA18603,ERR031872
NA18608,ERR031874
NA18609,ERR031875
NA18611,ERR031876
NA18612,ERR034593
NA18620,ERR031877
NA18621,ERR034595
NA18622,ERR032027
NA18622,ERR032028
NA18623,ERR032008
NA18624,ERR031928
NA18632,ERR031929
NA18633,ERR031878
NA18635,ERR031879
NA18636,ERR031930
NA18637,ERR031931
NA18853,SRR100011
NA18856,SRR098533
NA18858,ERR034553
NA18861,ERR034554
NA18870,SRR100031
NA18871,SRR100029
NA18912,SRR111960
NA18940,ERR034596
NA18942,ERR034597
NA18943,ERR034598
NA18944,ERR034599
NA18947,ERR034601
NA18948,ERR034602
NA18949,ERR034603
NA18951,ERR034604
NA18952,ERR034605
NA18953,SRR099546
NA18959,SRR099545
NA18960,SRR099533
NA18961,SRR099544
NA18966,SRR071175
NA18967,SRR071192
NA18967,SRR071196
NA18968,SRR077480
NA18968,SRR081231
NA18969,SRR081266
NA18969,SRR081273
NA18970,SRR071116
NA18970,SRR071127
NA18971,SRR077447
NA18972,SRR077490
NA18972,SRR081255
NA18973,SRR077861
NA18973,SRR078846
NA18974,SRR077456
NA18974,SRR081248
NA18975,SRR078849
NA18976,SRR077451
NA18976,SRR077757
NA18978,SRR716650
NA18981,SRR077477
NA18981,SRR077751
NA18987,SRR077491
NA18990,SRR077454
NA18990,SRR077486
NA18991,SRR077450
NA18991,SRR077855
NA18992,SRR716428
NA18994,SRR716431
NA18995,SRR764775
NA18997,SRR702078
NA18998,SRR766013
NA18999,SRR112297
NA19000,SRR099528
NA19003,SRR099532
NA19005,SRR715906
NA19007,SRR099549
NA19012,SRR112294
NA19092,SRR100012
NA19093,SRR100033
NA19098,SRR077460
NA19099,SRR748771
NA19099,SRR748772
NA19102,SRR100034
NA19116,SRR100021
NA19119,SRR077471
NA19119,SRR081271
NA19130,SRR107026
NA19131,SRR070494
NA19131,SRR070783
NA19137,SRR081226
NA19137,SRR081237
NA19137,SRR792542
NA19137,SRR792560
NA19138,SRR070472
NA19138,SRR070776
NA19141,SRR077433
NA19141,SRR077464
NA19143,SRR077445
NA19143,SRR081272
NA19144,SRR077392
NA19152,SRR071135
NA19152,SRR071167
NA19153,SRR070660
NA19153,SRR070846
NA19159,SRR070478
NA19159,SRR070786
NA19171,SRR077492
NA19171,SRR077493
NA19172,SRR111962
NA19200,SRR077432
NA19200,SRR078847
NA19201,SRR077439
NA19201,SRR077462
NA19204,SRR077857
NA19204,SRR081263
NA19206,SRR070491
NA19206,SRR070781
NA19207,SRR081254
NA19207,SRR081256
NA19209,SRR077489
NA19209,SRR077859
NA19210,SRR078845
NA19210,SRR081222
NA19238,SRR071173
NA19238,SRR071195
NA19238,SRR792121
NA19238,SRR792165
NA19239,SRR792097
NA19239,SRR792159
NA19240,SRR792091
NA19240,SRR792767
