Subject;Probe;Station
NA06985;SRR709972;1
NA06994;SRR070528;1
NA06994;SRR070819;1
NA07000;SRR766039;1
NA07048;SRR099452;1
NA07056;SRR764718;1
NA07357;SRR764689;1
NA07357;SRR764690;1
NA10847;SRR070531;1
NA10847;SRR070823;1
NA10851;SRR766044;1
NA11829;SRR710128;1
NA11831;SRR709975;1
NA11832;SRR766003;1
NA11840;SRR070532;1
NA11840;SRR070809;1
NA11881;SRR766021;1
NA11992;SRR701474;1
NA11994;SRR701475;1
NA11995;SRR766010;1
NA12003;SRR766061;1
NA12004;SRR766059;1
NA12005;SRR718067;1
NA12006;SRR716422;1
NA12043;SRR716423;1
NA12043;SRR716424;1
NA12044;SRR766060;1
NA12144;SRR766058;1
NA12154;SRR702067;1
NA12155;SRR702068;1
NA12156;SRR764691;1
NA12234;SRR716435;1
NA12249;SRR070798;1
NA12716;SRR081269;1
NA12717;SRR071172;1
NA12750;SRR081238;1
NA12750;SRR794547;1
NA12750;SRR794550;1
NA12751;SRR071136;1
NA12751;SRR071139;1
NA12760;SRR081223;1
NA12760;SRR081251;1
NA12761;SRR077753;1
NA12761;SRR081267;1
NA12762;SRR718076;1
NA12763;SRR077752;1
NA12763;SRR081230;1
NA12812;SRR715913;1
NA12813;SRR718077;1
NA12813;SRR718078;1
NA12814;SRR715914;1
NA12872;SRR716647;1
NA12874;SRR764692;1
NA12878;SRR098401;1
NA12891;SRR098359;1
NA12892;ERR034529;1
NA18501;SRR100022;1
NA18502;SRR764722;1
NA18502;SRR764723;1
NA18504;SRR100028;1
NA18505;SRR716648;1
NA18505;SRR716649;1
NA18507;SRR764745;1
NA18507;SRR764746;1
NA18508;SRR716637;1
NA18508;SRR716638;1
NA18516;SRR100026;1
NA18517;ERR034551;1
NA18522;SRR107025;1
NA18523;ERR034552;1
NA18526;ERR031854;1
NA18532;ERR031956;1
NA18537;ERR032033;1
NA18537;ERR032034;1
NA18542;ERR031855;1
NA18545;ERR031856;1
NA18547;ERR031957;1
NA18550;ERR031958;1
NA18552;ERR031959;1
NA18558;ERR031960;1
NA18561;ERR031858;1
NA18562;ERR031859;1
NA18563;ERR031860;1
NA18566;ERR031862;1
NA18571;ERR031868;1
NA18572;ERR031869;2
NA18573;ERR031870;2
NA18576;ERR031871;2
NA18577;ERR032035;2
NA18577;ERR032036;2
NA18579;ERR032037;2
NA18579;ERR032038;2
NA18582;ERR031961;2
NA18592;ERR031962;2
NA18593;ERR034531;2
NA18603;ERR031872;2
NA18608;ERR031874;2
NA18609;ERR031875;2
